Question,Answer,Category
ال+ سلام علي +كم متى موعد اباض +ت +ي لانو زوج +ي مابجامعني غير يوم واحد ب+ ال+ اسبوع ب+ سبب مرض سكري حاب +ه أعرف موعد يوم ال+ اباضه 15 - 5 ل+ حصول ال+ حمل و+ هل يجب يصير جماع يوم ال+ اباضه و+ تان +ي يوم,و+ على +كم ال+ سلام . نعم ب+ يصير .,الحمل والولادة
عند +ي حك +ه قوي +ه في منطق +ة الخصي +ه خارجي,من خلال كلما +ت +ك في استشار +ت +ك ف+ أنت لا تعاني من و+ سواس حول ال+ موضوع . . و+ لكن ال+ راجح أن ل+ ديك فطري +ات تسبب ال+ حك +ة في ال+ منطق +ة التي ذكر +ت +ها . . و+ هذه تحتاج إلى تعليم +ات معين +ة حول استمراري +ة نظاف +ة هذه ال+ منطق +ة ل+ عدم رجوع تلك ال+ فطري +ات . .,الأمراض الجلدية
كان مكتوب كتابي ع شب و+ عندما أرد +ت ترك +ه حاول اغتصاب +ي دخل يد +ه داخل ب+ نطالي و+ بدأ يفرك ب+ سرع +ة و+ يشد ب+ قو +ة لكن +ي لم أشعر أبد +ا +ان +ه أدخل إصبع +ه لكن شاهد +نا دم هل . .,صعل ال+ حسم في ال+ موضوع ب+ دون فحص طبي ، و+ أنصح ب+ ال+ فحص ب+ سرع +ة حتى يمكن إعاد +ة تخييط +ه ، و+ إلا ضاع +ت ال+ آثار ! !,الصحة الجنسية
هل تأثير ال+ بكتيريا الموجود +ه في ال+ حيوان +ات ال+ منوي +ة علي ال+ سرعه و+ ال+ حركه و+ علي ال+ حمل,نعم ل+ ال+ بكتيريا تأثير على ال+ سائل ال+ منوي . . ال+ بكتيريا يجب ان تعالج,أمراض المسالك البولية والتناسلية
ممكن اسم دواء بديل لروكوتان لان عند +نا في ال+ مغرب ما متوفر في ال+ صيدلي +ات,راجع +ي ال+ صيدلي ل+ يعطيك ال+ بديل ال+ مناسب الذي يحتوي علي نفس ال+ تركيب +ة ال+ علمي +ة مع اختلاف ال+ شرك +ة ال+ مصنع +ة فقط .,علم الصيدلة
لا أثق ب+ أحد و+ أخشى ال+ تعرف إلى أي شخص حتى لا يخيب أملي في +ه بعدما تعرض +ت ل+ خيب +ات أمل كبير +ة و+ متكرر +ة مع أقرب ال+ ناس لي . أبحث عن عمل أو أي نشاط اجتماعي . .,نحتاج إلى ال+ علاج ال+ نفسي ال+ مكثف,أمراض نفسية
هل يود +ي ارتفاع نسب +ة ال+ هيموجلبين في ال+ دم الى ال+ تقيئ ال+ متواصل ل+ ال+ مريض,تحي +ة و احترام كلا و لكن ال+ عكس صحيح فان ال+ قيء ال+ متواصل هو الذي يؤدي الى فقدان ال+ بلازما من ال+ دم و نقص ال+ سوائل ف+ عند ذلك يظهر زياد +ة في تركيز ال+ هيموكلوبين في ال+ دم . . و الله اعلم,الطب العام
بكري +ه حديث +ة ال+ زواج ال+ دوره غير منتظم +ه نزل من +ي قبل ال+ دوره ب 4 أيام دم فاتح زهري ولايشبه دم ال+ دوره تقريب +ا خمس دقاىق وبعدهجات افراز +ة بني +ه خفيف +ه ايض +ا لمتستمر توقف +ة سريع +ا هل . .,انتظر +ي ل+ ال+ دور +ة ل+ عمل فحص حمل,أمراض نسائية
دكتور +ة أنا عمري 30 متزوج +ة ب+ دون أولاد عند +ي جفاف فيس ال+ مهبل ما ال+ حل ؟ أريد حل غير ال+ جل أو ال+ مزلق هل يوجد دواء أو أكل معين يساعدني على تخطي هذه . .,حط +ي تحاميل بري مينو Pre meno تحميل +ه مهبلي +ه واحد +ه في ال+ بوم,أمراض نسائية
هل صحيح ان تخطيط ال+ قلب ال+ عادي و+ فحص ال+ جهد على ال+ بسكليت لا يكشف ضعف عضل +ة ال+ قلب ماالفحوصات ال+ أخرى ال+ ممكن +ة ?,ل+ ال+ تأكد من وظيف +ة ال+ عضل +ة ال+ قلبي +ة يجب اجراء ايكو قلب,أمراض القلب و الشرايين
أنا حامل في ال+ أسبوع ال+ خامس زرد +ت دكتور +ه ال+ نسائيه و+ قال +ت في كيس +ين حمل داخل ال+ رحم و+ لكن غير واضح +ات أنا خفت ال+ صراحه من ال+ ممكن يكون +ون فارغ +ات,افحصي بعد أسبوع,أمراض نسائية
لدي طفل عمر +ه سن +ت +ين حصل +ت ل+ +ه تشنج +ات مدتتها ثلاث ثواني تستمر خمس دقايق ما هو ال+ علاج ال+ لازم,يجب عرض +ه على طبيب أطفال ل+ تقيم +ه ب+ شكل عام و+ من و+ من ال+ ممكن اجراء بعض ال+ فحوص +ات حسب وضع ال+ طفل ال+ عام و+ ب+ ال+ عاده اذ +ا كان ال+ طفل يتطور ب+ شكل طبيعي و+ لا يعاني من اي أمراض عصبي +ه لا يعطى ادوي +ه ل+ ال+ تشنج من مر +ه واحد +ه اما اذ +ا تشنج أكثر من مر +ه واحد +ه يحتاج ل+ دواء ل+ ال+ تشنج,أمراض الأطفال
قلق دائم ب+ سبب و+ ب+ دون سبب ، شعور ال+ خوف مسيطر على جميع جوانب حيا +ت +ي ، شعور +ان +ي ما عند +ي اي قيم +ة ، وحيد +ة جد +ا ، اعاني من ال+ تفكير ال+ دائم ، عدم قدر +ت +ي . .,تحتاج +ين الى متابع +ة جلس +ات علاج نفس +ي ل+ ال+ تخلص من ال+ خوف و+ زياد +ة ال+ ثق +ة ب+ ال+ نفس,أمراض نفسية
م أنا ابن +ت +ي عمر +ها 21 يوم +ا تتقيئ كثير +ا في كل رضع +ة ف+ ما ال+ حل من ف+ ظل +ك,قد يكون سبب ال+ قئ رضاع +ة فوق حاج +ت +ها حاولى ان تنظمى ل+ +ها ال+ رضع +ات كل ساع +ة و+ نصف أو ساع +ت +ين و+ ساعد +ي +ها على إخراج ال+ هواء من بطن +ها بعد ال+ رضاعه ب+ ابقائ +ها في وضع رأسى,أمراض الأطفال
أنا حامل و+ فين +ي اثار حساسي +ه سواد في ال+ موخره كيف ازيل +ه,ال+ أدوي +ة ال+ مستعمل +ة ل+ إزال +ة ال+ لون ال+ أسمر من ال+ جسم ممنوع +ة أثناء ال+ حمل لذا علي +ك ال+ انتظار ل+ ما بعد ال+ ولاد +ة ان شاء الله و+ يمكن وصف ال+ علاج ال+ لازم ل+ +ك,الأمراض الجلدية
و+ الدتى تبلغ من ال+ عمر 56 عام +ا و+ عمل +ت عملي +ة ال+ مراره من ثلاث +ة سنو +ات و+ فجأ +ه الان بعد ال+ أكل يجيل +ها انتفاخ و+ ألم ب+ ال+ معده ع ال+ وضع ده ب+ قال +ها اكتر من 3 شهور,"هناك بعض ال+ مشاكل ال+ طبي +ة التي تتبع استئصال ال+ مرار +ة , ف+ إن ال+ مرار +ة تقوم ب+ تخزين ال+ عصار +ة ال+ صفراوي +ة التي تفرز من ال+ كبد ، و+ إفراغ +ها عند ال+ حاج +ة بعد ال+ طعام إلى ال+ اثن +ي عشر ، و+ هو ال+ جزء الذي يلي ال+ معد +ة ، إلا أن +ه و+ بعد استئصال ال+ مرار +ة ف+ إن تفريغ ال+ عصار +ة ال+ صفراوي +ة يستمر ، مما يسبب التهاب +ا في ال+ معد +ة و+ التهاب ال+ مريء . علاج أعراض ما بعد استئصال ال+ مرار +ة ف+ يكون ب+ تناول مضاد +ات ال+ حموض +ة ، و+ من +ها : ( nexium , losec , lanzoprazol , pariet ) ، و+ هي تؤخذ مر +ة أو مر +ت +ين ، و+ تساعد على علاج التهاب ال+ معد +ة و+ ال+ ارتجاع . و+ أما ال+ حمي +ة ال+ غذائي +ة : ف+ أنت يمكن أن تراقب ال+ أطعم +ة التي يمكن أن تسبب ل+ +ك أي آلام , أو ال+ شعور ب+ ال+ انتفاخ و+ تقلل من +ها ،",أمراض الجهاز الهضمي
قم +ت ب+ تحليل حمل منزل +ي قبل موعد ال+ دور +ة ب 6 أيام و+ كان +ت ال+ نتيج +ة إيجابي +ة ثم ب+ يوم موعد ال+ دور +ة أت +ت ال+ دور +ة حلل +ت بعد +ها و+ كان +ت ال+ نتيج +ة سلبي +ة ف+ هل هذا إجهاض ؟,ممكن ال+ فحص أظهر نتيج +ه ايجابي +ه ( خادع +ه ) ب+ سبب ابر +ه تفجير ال+ بويضه ان +كن +ت استخدم +ت +ها . . أو ان ادا +ه فحص ال+ حمل ال+ منزلي ( فاسد +ه ب+ سبب عدم حفظ +ها ب+ شكل جيد في مستودع +ات ال+ ادويه ),أمراض نسائية
عند +ي افراز +ات مهبلي +ه تشبه ال+ ماد +ة ال+ مجبنه عندما تنشف لكن أثناء نزول +ه ال+ احظ +ان +ه سائل خفيف يميل الى لون ال+ لبن ال+ فاتح جد +ا,يجب مراجع +ه ال+ طبيب ال+ اغلب وجود التهاب +ات مهبلي +ه,أمراض نسائية
أعان +ي من ألم مزمن في أسفل ظهري ب+ مستوى ال+ أوراك و+ حتى عصصي عملي مكتب +ي أرجو ال+ نصح و ال+ إرشاد,أنت تجهد ال+ عصعص ب+ جلوس +ك ال+ مستمر ب+ حكم مهن +ت +ك . يجب محاول +ة . - إجراء تمارين ل+ عضل +ات ال+ ظهر و+ تقوي +ت +ها ، 2 - محاول +ة ال+ وقوف عد +ة مر +ات في أثناء ال+ عمل و+ تجنب طول ال+ جلوسن 3 - تناول بعض ال+ مسكن +ات مثل ال+ فولتارين أو غير +ه . 4 - استخدام مراهم من لفولتارين أو غير +ه ل+ تحفيز ال+ دور +ة ال+ دموي +ة ال+ محلي +ة و+ تخفيف ال+ لم ال+ موضعي . 4 - استخدام أعشاب مفيد +ة مثل ال+ ثوم و+ ال+ زنجبيل و+ غير +هما .,أمراض العضلات والعظام و المفاصل
كيف اعالج فقر ال+ دم,على حسب سبب +ه قد يكون نقص ال+ حديد أو فيتامين ب أو فقد ال+ دم نتيج +ة نزيف اوتكسير في ال+ كر +ات ال+ حمراء و+ ل+ كل سبب ع ج,أمراض الدم
تم إرجاع ال+ اجنه ب+ تاريخ 28 - 7 أشعر ب+ ال+ تعب و+ الم ف+ ال+ بطن انتفاخ و+ غاز +ات ، تأخر ال+ دوره ، عمل +ت فحص دم رقمي ب+ ال+ أمس ال+ نتيجه هي 3 . 5 ما معنى هذا,لا أعرف هذه ال+ نسب +ة هي 3 . 5 ام 35 و+ مازال مبكر +ا على ال+ فحص .,أمراض نسائية
أنا متزوج من سن +ت +ين و+ ال+ مشكله من ب+ داي +ه ال+ زواج بعد كل علاق +ه لازم يكون ف فقدان ل+ ال+ شهيه اذ +ا ما في علاق +ه تصبح ال+ شهيه مفتوح +ه جد +ا و+ ب+ كسر +ه اذ +ا حدث علاق +ه يحدث فقدان . .,نهاي +ة كل علاق +ة جنسي +ة يتبع +ها ارتخاء ال+ جسم و+ عياء مع فقدان ال+ شهي +ة كل هدا طبيعي . تجديد ال+ فرص +ة ل+ كي تظهر من جديد ال+ شهي +ة ال+ جنسي +ة لابد من فاصل زمني طويل أو قصير حسب كل واحد و+ حسب ال+ عمر و+ حسب ال+ رشاق +ة .,الصحة الجنسية
لو سمح +ت . . أنا عندى انتفاخ +ات تحت ال+ عين +كن +ت عايز +ة أعرف أي أسباب +ها و+ ازاى أقدر أتخلص من +ها . . ؟,علي +ك في ال+ بداي +ة عمل فحص دم خاص +ة وظائف ال+ كلى و+ ال+ كبد و+ بعد ال+ نتيج +ة نقدم ال+ مساعد +ة,الأمراض الجلدية
ال+ سلام علي +كم اعاني من ضعف في ال+ انتصاب و+ لم أجد عيلاج و+ ال+ دكتره قالو تحليل +ك جيد +ة و+ لم أعرف ال+ مشكله,علي +ك تحسين ل+ ياق +ت +ك ال+ بدني +ة ب+ ممارس +ة ال+ رياض +ة ال+ يومي +ة و+ ال+ تغذي +ة ال+ متوازن +ة و+ تناول ال+ مكسر +ات و+ ال+ عسل و+ عسل ال+ ملك +ات ، وهذهلائحة ب+ ال+ أطعم +ة التي تساعد على ال+ تخلص من ال+ ضعف ال+ جنسى مثل : ال+ ثوم ، ال+ بصل ، ال+ قمح ، ال+ موز ، ال+ زنجبيل ، حب +ة ال+ برك +ة ، ال+ تمر ، ال+ حلب +ة ، ال+ حمص ، ال+ عدس ، بذر ال+ كتان ، ال+ كاكاو ، ال+ زعفران ، جوز ال+ طيب ، ال+ قرنفل ، ال+ عود ، ال+ كرفس ، ال+ شبت ، ال+ توت ، ال+ أسماك ال+ دهني +ة ، ال+ تفاح . و+ س+ تتحسن ب+ ال+ تدريج .,الصحة الجنسية
تاخر +ت دورتي 8 أيام و+ هي منتظم +ه جد +ا من قبل قم +ت ب+ تحليل منزل +ي و+ ظهر خط باهت جد +ا جد +ا و+ تحليل دم سلبي هل هناك احتمال وجود حمل متاخر ام لا ؟,افحصي سونار,أمراض نسائية
أنا ب+ عاني من قصر ال+ قضيب و+ سرع +ة ال+ قذف يعني طولي أنا 184 و+ وزني 120 و+ طول قضيب +ي 13 سم و+ عمري 20 طبيعي هي +ك أو لا ؟ ؟ ! !,ال+ طول ال+ عادي من 8 - 18 سم ف+ لا داعي ل+ ال+ قلق ، ب+ لنسب +ة ل+ سرع +ة ال+ قذفيفضل تقليل ال+ عادةالسري +ة و+ تأخير ال+ علاج وممارسةالرياضة .,الصحة الجنسية
خلال سن +ة +كن +ت استخدم كبسول +ات فارمتون ( مجموع +ة فيتامين +ات ) عند استخدام +ا بعد فتر +ة تأتيني آلام في مختلف أماكن جسد +ي ب+ لا أي سبب منطقي ، و+ حين اترك +ها تذهب هذه ال+ آلام ، و+ حين . .,لا اعتقد وجود اي صل +ة و+ لكن ل+ اننصح ب+ استخدام ال+ فيتامين +ات ب+ حال +ة عدم وجود نقص و+ في حال +ة ان ال+ شخص يأكل أكل صحي متنوع مفيد و+ لكن ننصح ب+ عمل بعض ال+ تحاليل مثل مخزون ال+ حديد و+ فيتامين دال و باء 12 و+ في حال +ة ال+ نقص يجب تعويض +ها و+ ب+ ال+ طريق +ة ال+ صحيح +ة,الطب العام
لم نزور ال+ طبيب بعد ل+ ال+ تأكد ، لكن زوج +ت +ي في ال+ ممارس +ة ال+ جنسي +ة لاتستطيع إتمام ال+ عملي +ة من شد +ة ال+ ألم ، مما جعل +نا نفكر في وجود التهاب و+ خاص +ة أن +ها لاحظ +ت وجود حبيب +ات صغر +ة في إحدى شفت +ي . .,يفضل استشار +ة اختصاصي سائي +ة ل+ تقييم ال+ حال +ة .,الصحة الجنسية
مس +ا ال+ خير لو سمح +ت بدي أسأل عن مض انفصام ال+ شخصي +ة شو ال+ علاج,ال+ علاج من قبل ال+ طبيب ال+ نفساني ب+ ال+ أدوي +ة ال+ مناسبه,الصحة النفسية
عمري 17 سن +ه عند +ي أشياء صغير +ة تشبه ال+ حبوب أسفل رأس ال+ قضيب ( على ال+ هوامش من أسفل ) و+ لكن +ها لا تؤثر على إنتصاب ال+ قضيب و+ لكن +ها فقط تزعجني جد +ا ل+ أن هذا شيئ غريب و+ غير . .,اذ +ا +كن +ت لم تمارس سوى ال+ عاده ال+ سريه . . اي دون اي ممارس +ات أخرى غير طبيعي +ه . . فان ما تشكو من +ه هو أمر طبيعي تمام +ا و+ لا يحتاج الى اي علاج . . بل هي تغير +ات طبيعي +ه في مثل عمر +ك,الأمراض الجنسية
ال+ سلام علي +كم كيف يمكن ال+ قضاء على ال+ هل +ات ال+ سوداء تحت ال+ عين +ين و+ شكرا +ا,"علاج ال+ هال +ات ، ب+ استخدام ال+ بطاطا ال+ غني +ة ب+ ال+ فيتامين سي أبشرالبطاطا ال+ ني +ة ثم اعصر +ها و+ بلل ك+ ماد +ة من ال+ قطن ب+ +ها وضع +ها على عين +ي +ك قبل ال+ نوم ف+ تترك ال+ بشر +ة متألق +ة و+ نضر +ة . و+ تجنب ال+ سهر ال+ طويل أمام ال+ تلفزيون و+ ال+ كمبيوتر و+ تجنب ال+ تدخين و+ عدم ال+ تعرض ل+ أشع +ة ال+ شمس مد +ة طويل +ة و+ ال+ إمتناع عن تناول ال+ شاي و+ ال+ قهو +ة و+ ال+ كولا و+ ال+ مشروب +ات ال+ غازي +ة , و+ تناول ال+ أغذي +ة ال+ متوازن +ة ال+ محتوي +ة على ال+ فيتامين +ات كما أن ال+ ليزر من أنجح ال+ علاج +ات ل+ تفتيح ال+ هال +ات و+ ضخ دهون من ال+ جسم تحت ال+ جلد حول ال+ عين +ين و+ تقني +ة ال F . A . تعمل على ال+ ليزر ل+ إعاد +ة تنشيط ال+ دور +ة ال+ دموي +ة تحت ال+ عين +ين و+ تحفيز ال+ كولاج +ين",البشرة والجمال
هل هناك ضرر إذا ذهب +ت ل+ طبيب ال+ أسنان وعالجني من أي مشكل +ة كان +ت ، ، و+ أنا حائض,اعتقد ان طبيب ال+ أسنان في خدم +ة مريض +ه مهما كان عند +ه من مشاكل و+ لكن ال+ اقضل و+ ال+ اجدى اخبار طبيب ال+ أسنان في ال+ عياده ما تعانى من +ه مهنا كان لكى ياخذ ال+ طبيب ال+ احتياط +ات ال+ لازمه ل+ +ه من بنج خاص و+ من وقاي +ه,أمراض نسائية
هناك حب +ه ب+ ال+ يمين و+ ال+ اخرى ب+ ال+ جهه ال+ يسرى أحيان +ا فجا +ه يبدا يخرج من +هم أبيض ف+ ماهو ال+ سبب وماهوالحل,هل هى مؤلم +ة ام مجرد خروج ال+ قيح ؟ ؟ لو مؤلم +ة إذن هذه قرح تخف ل+ وحد +ها لو قيح ده التهاب ف ال+ غد +ة ال+ لغابي +ة,أمراض الفم
دوار شديد و+ غثيان عند تحريك راسي و+ لا أستطيع ال+ تحرك و+ عند ال+ وقوف لا يوجد اتزان ان حرك +ت راسي مجرد 1 ملي أجري +ت فحوص +ات ل+ ال+ اذن و+ ال+ عين و+ ال+ دم وكل +ه سليم مع ال+ علم +ان +ي . .,أرسل نتيج +ة تخطيط ال+ سمع أول +ا و+ أجرى دةبلير اوعي +ة ل+ ال+ عنق ولاتنظر ل+ ال+ اعلى ولاتحني رأس +ك ل+ ال+ اعلى,أنف، أذن وحنجرة
مرحب +ا ، سمع +ت عن إن ممكن أعمل رجيم عند مختص و+ أطلب من +ه يتيح لي إمكاني +ة أكل ال+ اندومي كل يوم أو ب+ يوم و+ وقت معين من أيام ال+ أسبوع ، و+ قرأ +ت أيض +ا إن ال+ أطباء ينصح +وا . .,"ال+ سلام علي +كم ال+ أندومي و+ بهار +ات +ه يعتبر غذاء غير صحي ل+ عد +ة أمور من +ها : ال+ نودلز نفس +ها تكون نصف مقلي +ة و+ هذا يزيد من تناول +ك ل+ ال+ دهون ال+ مشبع +ة ال+ مضر +ة و+ التي تزيد من ال+ وزن , احتوائ +ها على غلوتامات أحادي ال+ صوديوم و+ هي ماد +ة حافظ +ة تسبب خداع ل+ ال+ دماغ +ان +ها ماد +ة شهي +ة فيدمن علي +ها و+ تسبب خلل في ال+ أعصاب إضاف +ة الى ال+ صداع و+ ال+ خمول و فرط ال+ حرك +ة لدى ال+ أطفال ، إضاف +ة الى ال+ ملح الذي يتسبب ب+ رفع ال+ ضغط ، كما أن +ها لا تعتبر وجب +ة كافي +ة و+ ينقص +ها ال+ كثير ل+ تصبح كذلك . عوض +ا عن +ها يمكن +ك سلق نودلز و+ إضاف +ة خضار مقطع +ة ك+ ال+ فلفل ال+ حلو و+ ال+ جزر و+ ال+ بصل و+ ال+ قليل من ال+ دجاج ال+ مسلوق ال+ مقطع ل+ قطع صغير +ة ل+ تصبح شورب +ة صحي +ة و+ لذيذ +ة",تغذية
سوالي أريد كريم تفتيح ال+ وجه ب+ شكل ملحوظ و+ سريع مضمون و+ جزا +كم خير,من كريم +ات تفتيح لون ال+ بشر +ة كريم بيوت +ي آند شاين و+ كريم فيدآوت و+ كريم ألدوكين فورت و+ أفالون,الأمراض الجلدية
استفسار أريد ان أعرف هل عملي +ه جراح +ه تظييق ال+ رحم خطر +ه ام لا و+ +كم تكلف ال+ عمليه في سلطن +ه عمان,لا يوجد عملي +ة اسم +ها تضيق ال+ رحم و+ لكن ممكن يكون ال+ مقصود تصليح ال+ مهبل,أمراض نسائية
أشعر ب حك +ه شديد +ه ب+ قال +ها أسبوع و انتفاخ في ال+ شفر +ت +ين ال+ خاريج +ت +ين عمل +ت تشطيف ب+ ال+ ماء ال+ دافي وفلاجيل بودر تشطيف و+ مش ب+ لبس ملابس بس ال+ موضوع مضايقني و محرج +ه أروح ل+ دكتور +ه,راجع +ي ال+ طبيب أفضل,أمراض نسائية
عند +ي جرثوم +ة معد +ة و+ ال+ دكتور أعطاني مضاد حيوي أوكسيكلاف 625 ثلاث مر +ات بعد ال+ أكل و+ ال+ دواء خلص هل أكرر +ه اخذ +ت +ه سبع أيام . و+ شكر +ا,علاج جرثوم +ة ال+ معد +ة هيلكو ب+ اكتر ثلاثى omeprazol و maxicillin500 وclarifthromycin أسبوع أو 10 أيام,أمراض الجهاز الهضمي
أريد أعرف من حضر +ت +كم هل هنالك مشكل +ة في ال+ ديسك +ات خاص +ة ال+ رابع +ة و+ ال+ خامس +ة على ضوء صور +ة رنين أستطيع ممارس +ة ال+ رياض +ة و+ لو كان +ت مجهد +ة .,يفضل مراجع +ه طبيب روماتيزم ل+ إجراء ال+ لازم من أجل استبعاد أسباب أخرى ل+ ال+ الام و+ إلي +ك بعض من ال+ نصائح الطبي +ه في حيا +ت +ك اليوم +ي +ه عدم ال+ انحناء عدم رفع ال+ أشياء ال+ ثقيله و+ ال+ وقوف يكون ب+ تباعد ال+ قدم +ين أو رفع أحد ال+ قدم +ين على مرتفع و+ ال+ علاج ال+ طبيعي حسب ما يرا +ه طبيب +ك,أمراض العضلات والعظام و المفاصل
اعاني من 7 سنو +ات من خشون +ة ال+ ركب +ة و+ اعطو +نا علاج استفلكس و+ أنا مستمر علي +ه حتى الان و+ سمع +ت عن علاج ال+ خسون +ة ب+ ال+ بلازما و+ ال+ صفائح prp . . أرجو افاد +ت +ي عن هذا ب+ شكل عملي,غير مدرج ك+ علاج رسمي و+ هناك دراس +ات تبين +ان +ه مكلف و+ غير مجدي,أمراض العضلات والعظام و المفاصل
أول امبارح كان +ت دهلتى و كان في وجع جامد اوى أثناء ال+ علاقه ثم ال+ قليل جد +ا من ال+ دماء و ال+ يوم حدث +ت علاق +ه و يصاحب +ها قلم اخف مع دماء كتير شوي +ه عن . .,نزول ال+ دم دليل على تمزق ال+ غشاء ، و+ ال+ أم أحد ال+ أعراض ل+ ذلك أيض +ا ، و+ لا يؤثر على ال+ عاد +ة ال+ شهري +ة و+ لا داعي ل+ ال+ قلق,الصحة الجنسية
سلام و علي +كم هناك أمر يقلقني أم +ي منذ حوالي سنو +ات و بطن +ها منتفخ و مع ال+ وقت أصبح يعطي شكل كان +ه رأس طفل فوق ال+ سر +ة و لون +ه كان +ه يميل الى ال+ زرق . .,ل+ ال+ اسف لا يمكن تشخيص ال+ حال +ة و علاج +ها دون مراجع +ة ال+ طبيب ل+ ال+ فحص ل+ ال+ توصل إلى ال+ سبب,أمراض باطنية
أنا حامل 6 أسابيع و 4 أيام في ب+ دلي +ه ال+ شهر ال+ ثاني كان ينزل من +ي خاط بني غامق قالو هو دم ال+ تثبيت يوم +ين و+ يتوقف لكن بين يوم و+ يوم ينزل علي مخاط بني,يجب ال+ كشف علي +ك و+ عمل سونار,أمراض نسائية
بعد علاق +ه جنس فموي عمل +ت تحليل ب+ جهاز ليز +ا بعدثلاث أشهر و+ يوم +ين و+ ظهر عند +ي أصاب +ه بلهربس ال+ فموي من ال+ صغر ولايوجدهربس تناسلي ف+ هل ال+ تحليل قطعي و+ ظهرلي أعراض حك +ه و+ هرش في ال+ عضو ال+ ذكرى,ال+ تحليل قطعي تمام +ا . .,الأمراض الجنسية
مرحب +ا +ان +ي اعاني من الم في عضام ال+ يد و+ ال+ رجل و+ ال+ رقبه و+ ال+ ضهر واني عمل +ت رنين ل+ ال+ رقبه و+ تحليل +ات ال+ دم و+ كل +ها سليم +ه و+ ال+ ألم مستمر و+ ينقل من منطق +ه الى أخرى و+ أنا ع هذه ال+ حله . .,علي +ك مراجع +ة مركز علاج طبيعي,أمراض العضلات والعظام و المفاصل
ال+ سلام علي +كم اسئل +كم ب+ خصوص ابن +ت +ي ال+ بالغ +ة من ال+ عمر أربع سنو +ات و+ هي أصيب +ت ب+ ال+ انفلاونزا و+ تشكي من الم في وسط ظهر +ها أحيان +ا يهدأ و+ أحيان +ا يكون شديد هل هذا ال+ ألم طبيعي و+ س+ يزول ب+ شفائ +ها .,علي +كم ال+ سلام غالب +ا هذا ال+ ألم س+ يزول ب+ شفاء +ها,أمراض باطنية
عمل +ت تحليل ل+ ال+ كبد و+ هذي ال+ نتيجه هل أنا مصاب ب+ التهاب ال+ كبد ؟ و+ ماذا يعني رقم 22 . 95,التهاب ال+ كبد ال+ حاد أو ال+ مزمن يحتاج تحليل آخر,أمراض الجهاز الهضمي
ال+ سلام علي +كم وصف لي ال+ دكتور كلوميد ثاني أيام ال+ دوره لكن ام اجد +ه في ال+ صيدلي +ات الا ثالث أيام ال+ دوره في ال+ لبل ىعني ب+ هذه ال+ حاله ساشرب 9 كلسولات فقط مد +ه 5 أيام . .,لا . اكمل +ي +ه كل +ه,أمراض نسائية
اذ +ا حصل خلل هرموني و+ ل+ أول مر +ة و+ نزل دم بني قبل ال+ دور +ة ب+ عشر أيام استمر حتى وصول وقت ال+ دور +ة ال+ ثاني +ة هل ممكن أخذ حبوب دوفاستون بعد حدوث هذا ال+ خلل أو نستنى . .,انتظر +ي . و+ اذ +ا تكرر خذي +ه,أمراض نسائية
لون وجه +ي اغمق من باقي لون جسم +ي . . و+ أنا ب+ ستعمل كريم فيد اوت . . هل هناك اي مشاكل في استعمال +ه ؟ ؟ و+ ماهو ال+ كريم ال+ أفضل ل+ تفتيح لون اابشره ؟ ؟,كريم فيد آو +ت من ال+ كريم +ات ال+ جيد +ة ل+ تبييض لون ال+ بشر +ة غستمري على إستعمال +ه و+ إذا لم يعط نتائج مقبول +ة عند +ها يمكن وصف كريم آخر,الأمراض الجلدية
هل ال+ جماع يوثر علي علم +ا +ان +ي أجري +ت عملي +ة ال+ رباط ال+ صليبي قبل 19 يوم ؟ و+ ماهي أفضل وضعي +ة ل+ ال+ جماع ل+ ال+ مريض الي أجرى عملي +ة ال+ رباط ال+ صليبي ؟,"ال+ جماع ب+ حد ذات +ه لا يؤثر علي +ك و+ إنما قد يؤثر على ال+ رباط اذ +ا تعرض ل+ حرك +ة شديد +ة و+ قوي +ة , لذا ينصح لبس ال+ مشد ال+ داعم ل+ ال+ ركب +ة و+ الذي يحدد ب+ زاوي +ة معين +ة و+ يمكن زياد +ت +ها بناء على قرار جراح ال+ عظام , مع ثبات ال+ ركب +ة يسمح ل+ +ك ب+ أي وضعي +ة تريحك",أمراض العضلات والعظام و المفاصل
ال+ سلام علي +كم أنا أعان +ي من نغز +ات في ال+ صدر في أسفل ال+ جه +ة ال+ يسرى منذو سن +ت +ين و+ لكن لقد ازداد مع ال+ وقت كثير +ا حيث +ا أنني اذ +ا حرك +ة جسد +ي في وضعي +ة معين +ة تنغز نفس . .,يجب اجراء استشار +ة قلبي +ة أول +ا . . قد تكون ال+ إضطراب +ات ال+ عيني +ة ذات علاق +ة ب+ ال+ شكوى ال+ قلبي +ة . . بعد ذلك ممكناجراء كشف على ال+ عيون,امراض العيون
عند +ي التهاب في البروستاتا منذ ثلاث سنو +ات و+ أعان +ي من تقطيع أثناء ال+ تبول واجد صعوب +ة و+ الم في ال+ تبول و+ عند أكل وجب +ة دسم +ة ثم ال+ نوم مباشر +ة بعد +ها يبدا ال+ قضيب في ال+ انتصاب ثم . .,احتلام و+ لا يوجد عرض مرضي تحتاج ل+ ال+ طبيب,أمراض المسالك البولية والتناسلية
